Number,respuesta,sentimiento,tipo,avg_sentimiento,,
1,"Pues yo Bueno yo tenía una ideología casi parecida a la de amlo porque es aparte de que son del mismo partido. Pues dije Pues a lo mejor sí va a generar como que los mismos proyectos. Y pues las los mismos más que nada como que apoyos, o sea, te imaginas como que lo mismo. Pues yo le veía como una persona Sí con un liderazgo, pues alto, pero siento que era buena idea que fuera presidenta porque pues iba a ser la primera mujer ser presidenta aquí en México entonces, pues yo pensaba que iba a generar los mismos proyectos que el presidente que iba a generar las mismas ayudas de hecho anteriormente, pues ella se enfocaba mucho en los Pues en Iztapalapa más que nada con esta Clara pero pues realmente solamente esos así le veía como buena candidata como para ser presidenta.Pues realmente, Ajá realmente Andrés Manuel lanzó, muchas ayudas adultos mayores a madres solteras a estudiantes Y es que estuve eso de los ninis o cosas así. Yo siento que ella está siguiendo como que el mismo patrón pero porque ya O sea ya es Ya está aterrizado, ya está hecho. Y pues yo realmente dije, pues con las ayudas Pues sí de hecho generó varias actividades en el Zócalo para para conciertos y cosas así O sea como para quedarse ganar. a la sociedad Por así decirlo mantenía pues Realizaba mantenimientos en el metro de hecho como que ella estuvo más presente en ciertos problemas, por ejemplo cuando se cayó el metro. Haciendo que ya he estado más este presente en esa cuestión, o sea, como, que es una persona como que no tan es una persona humilde. Pero porque realmente cuando por la vestimenta y por como ha ido a pueblos o cosas así a visitarlos O sea no sea no se ha visto como una persona pues Como te digo. Que diga, ay, no, yo no me para ahí, o sea, yo mando a mi gente, no O sea si hasta eso sí he estado presente como que en ciertas ocasiones. Y pues de los apoyos Pues los ha seguido manteniendo, o sea, prácticamente, pero hay cosas que ya no después de ser presenta ya no como que ya no fue lo mismo.",-0.030741408,real,-0.070763461,,
1,"pues me parecía buena opción sin embargo también como que me causaba un algo como que, o sea sí, me impresionaba que dice Wow Si ella termina como presidente va a ser la primera mujer y todo eso y tiene muy buenas propuestas y todo eso, pero también el hecho que decían Como de que habían muchas cosas como que no estaban tan padres decidiera como un Sí me parece bien, pero también no sé, yo la veía, pasa esto que yo la veía muy muy inteligente A mi parecer. Que fácilmente no sé, podría manipular o algo así, entonces yo decía como de es muy buena se escucha muy buena. Pero estaba como de un punto medio como de sí, no? Sí voté y estaba como la verdad es que sí me gustó mucho trabajo porque Pues básicamente fue mi primera votación entonces yo dije como Ay no sentí como un peso muy responsable así poder Ay no sé como que me sentí muy muy como estresada porque dije es algo muy importante y todo no Entonces yo estaba entre dos y pues sí terminé botando por por Claudia",-0.085993052,real,-0.070763461,,
1,"Este, pues creo que entre los tres postulados que había para la presidencia, la verdad, pues soy estudiante. Hago, hago ciencia con conciencia y con conciencia, hago ciencia, entonces la persona más preparada para mí en ese entonces era Claudia sheinbaum, Claudia sheinbaum, tiene tiene doctorado es de la UNAM es ingeniera. Era una persona muy preparada que tiene artículos de investigación científica. Está Pues inscrita, en el Sistema Nacional de investigadores O sea no no es cualquier persona no es cualquier persona. Sabíamos que era una persona muy preparada una persona muy grande, la verdad, la cual no tiene por qué lidiar con con opiniones muy tontas de la gente ignorante, la verdad de los que opinan mal sin saber ni Qué sigue después de la licenciatura. Ese tipo de gente tan ignorante no puedes tomar una crítica así, entonces yo pensaba muy muy bien de ella. Yo sabía que si llegaba la presidencia había decisiones que no las iba a tomar ella porque el gobierno te orilla a tomar ciertas decisiones. Entonces, pues tiene que también entrarle al aro, es también en su en su cordura en su persona iban a caer mucha responsabilidades, Yo sabía que las iba a confrontar de la mejor manera y pues eso es un poquito el panorama que yo tenía sobre sobre",-0.10341984,real,-0.070763461,,
1,"Pues la verdad es que mis Pues mis este pensamientos hacia ella siempre han sido positivos desde justo que estaba en la propuesta de presidencia de Presidencia Perdón este creo que se me hizo que tenía buena. Buenos puntos para ganarla este aparte, pues que era una persona bueno, que es una persona estudiada. Creo que eso le daba mucho al punto de que justo era a ti como de Pues no te no vamos a tener un cómo se llama Pues otro presidente, no sé corrupto que no sepa ni expresarse como lo fue en su tiempo Enrique Peña Nieto creo que me siento orgulloso de que nos pueda representar como país y pues que haya sido la primera presidenta de México me tenía buenas expectativas Siempre han sido buenas, la verdad.",-0.062899545,real,-0.070763461,,
,,0,real,,,
2,"En mi lo Pues bueno, bueno, Te voy a contar un tema ahorita que se ha estado viendo mucho. Ahorita Bueno por aquí por donde vivo han habido muchos socavones O sea a mí la verdad se me hace como que algo raro. Porque hace tres semanas. Apareció un socavón acá adelantito No ya y después de tres días o otro y ahorita apenas otro también porque se supuestamente. Bueno no más no Supuestamente más bien, pues aquí anteriormente era lago todo lo que era Iztapalapa por Xochimilco y todo eso Entonces pues ya con el tiempo pues lo fue cubriendo la ciudad entonces, pues Supuestamente abajo es pura agua. Y De igual forma, Pues yo creo que por eso también se están haciendo como que esos socavones es un problema, que Pues apenas Está realizando, por qué quién sabe? Yo creo que por lo mismo que porque abajo es pura pura agua. Bueno, de aquí de de donde vivo bueno de mis calles todo eso donde yo recurro sí por por el tráfico. O sea, y más que nada porque hay gente que ya se ha accidentado ahí, o sea se ha metido y que en ese socavones o todo o cosas así o al momento de pasar se hunde Y pues la otra vez hasta había una ambulancia y tardaron tardaron todavía estuvieron horas con este lo que atendían a las personas y en lo que lo tapaba nuevamente No pues yo creo que fácil se echaban como seis horas y como es una Avenida de sentido contrario, No pues había un tráfico terrible. Pues yo creo que el transporte Anteriormente De hecho aquí por donde vivo está la línea doce. Que es la que se cayó. Entonces no siempre fue un terrible desastre entra tráfico y todo eso Entonces yo creo que a todos a todos nos afectaba incluyéndome a mí porque yo antes trabajaba en una empresa allá por Tlalpan no y era, por ejemplo, si normalmente yo me hacía una hora 40 minutos no eran dos horas y media. Y todavía se está generando como que ese problema porque pues como tal el metro, Yo siento que ya no quedo bien. Entonces yo he visto que siempre en las noches normalmente como que hay máquinas, no sé qué tanto le hacen al metro Pero hay como que máquinas este checándolo. De qué quién sabe o igual se No sé siempre en periférico se atora mucho el tráfico igual lo que es luego el alumbrado lo ponen pero pues realmente como aquí se pone un Tianguis este, pues al final de cuenta con el tiempo se van. Como que o sea no le dan mantenimiento a lo que es esa a las lámparas o cosas así. Por la misma situación de que los maltratan ya con el tiempo no dura.",-0.155684054,real,-0.099033229,,
2,"Los problemas como más comunes puedo decir que ahorita por las lluvias las inundaciones en transporte de hecho apenas creo que hubo como un socavón en una de las calles cerca de aquí que impidió demasiado, o sea, el Sí el tránsito de carros y no se podía ni Pasar caminando también, pues obviamente los asaltos y todo eso como que se hace muy común que aquí pues no sé que vengan a tirar cuerpos. Está muy feo, entonces como ese tipo de cosas. No, Sí yo creo diría lo mismo creo que es como la preocupación más de mi mamá, el hecho de que yo salga y todo eso y que me voy a pasar algo o que me vayan a hacer algo o así, entonces sí, porque aquí como que pues sí, hay feminicidio y todo eso aquí que o que te roban por el simplemente ha hecho de ser mujer cosas así. yo creo que sí, el la violencia en cuestión sería el primero porque sí es muy Es muy feo, simplemente salir a la calle o que te estén gritando o que te estén haciendo cosas Pues sí y creo que la violencia es ya el segundo creo que también aquí se da mucho como los grupos de cobradores. y todo eso creo que tengo entendido que son como colombianos, la verdad, no sé sé que vienen mucho como en moto y todo eso como a las tiendas y todo eso yo no tengo, o sea, yo no tengo como tal un local, pero sí, ciertamente Sí he coincido con ellos porque pues obviamente Roman mucho Aquí Entonces el hecho de que te estén cobrando, simplemente por por básicamente comprar cosas así, pues está muy feo también Creo que el el tercero sería eso que Pues obviamente creo que el mantenimiento de las calles que o están muy sucias o o que pues simplemente el socavón, las lluvias que se inunda todo y todo eso. Creo que así lo enumeraría.",-0.061281651,real,-0.099033229,,
2,"Pues bueno, pues creo que pues una de esas es inseguridad. Ya me supongo que pues bueno en seguridad es algo que está en todos lados. Esa es una contaminación contaminaciones. Otra luego dejan basura en la calle, hay un mercado al cual aquí por mi casa. El cual no se le da este, pues sí, no, no se mantiene limpio ni nada. Luego tienen que dejar la basura afuera del mercado en la calle y pasar ahí ver la calle completa, llena de basura, o sea, ese es otro tema. Qué otra cosa puede ser? hí se se escriben en cualquier situación y pues se ha llegado a comentar de que algún asalto algún Este sí, algún robo a mano armada. Este cositas, así se han llegado a comentar también Pues en las noticias, ha salido de que no, el único no, no total en mi colonia, pero sí que en la alcaldía Miguel Hidalgo acaba de haber un robo O tal cosa entonces ese tema. El tema de la contaminación pues ya ya te lo conté y pues.",-0.120022073,real,-0.099033229,,
2,"Pues la seguridad creo que siempre ha sido el tema, ha mejorado ha ido mejorando, no me quejo pero pues como todo no este, pues son Hay muchas vecindades en donde yo vivo. Entonces, pues ya sabes, no comercialización de este sustancias indebidas o que ya te tienes que andar cuidando de este del otro porque pues ya sabe las mañas de la gente Este creo que ese es el tema Como de que me inquieta más la seguridad. Pero de ahí en fuera, pues pues creo que es algo superficial en sí, Lo las la seguridad es lo que podría inquietar más. Este me han intentado la verdad es que no gracias a Dios nunca, pero sí pues eh Pues como siempre ando así como a las vivas Pues así como ojeando y todo ese tipo de cosas, pues sí me doy cuenta que ya me vienen siguiendo entonces, pues ya mejor me tengo que pedir no sé un Uber o algo rápido para irme o meterme entre calles, qué sé yo.  pero creo que eso es como creo que ya todos nos está pasando lo del agua. Que a veces ves que la cortan o las tuberías la cierran eso, pero es como pues una vez cada tres meses cada dos meses, o sea, es un poco tedioso, pero no en seguido Entonces eso podría afectarme también un poco.",-0.059145138,real,-0.099033229,,
,,0,real,,,
3,"primero el pueblo Pues yo creo que es un eslogan bueno, Porque primero, pues está enfocando en nosotros, o sea, primero vamos a O sea, va a entender que primero nosotros que nos va a apoyar como sociedad y no los de arriba, o sea, los de arriba como las personas más influyentes Por así decirlo. Y pues los de abajo bueno, el pueblo es el que más necesita del gobierno prácticamente. Sí, está bueno.",0.047325104,real,-0.057069125,,
3,"Sí de hecho sí es nada más como que apoya al pueblo a la gente Pues sí de bajos recursos que a la gente Pues que ya tiene que de alguna forma ya tiene. Pues que básicamente Que lo primordial Pues sí, básicamente son el pueblo es la comunidad, que pues no tiene tanto. Y que pues los de arriba Pues sí quiero creer que las de arriba se refieren a las personas de pues ya con dinero con bastante, Pues sí, recursos y todo eso y no tienen tanta necesidad como de apoyos y todo eso. Quiero creer que el pueblo Pues básicamente. Son las personas que trabajan Pues sí trabajan con mucho esfuerzo trabajando humildemente que pues el pueblo. Es que el pueblo abarca muchas cosas sin embargo Creo que este eslogan quiero creer que se refiere a la gente. Pues de bajos recursos, quiero creer. Que obviamente necesitan demasiado demasiado apoyo y demasiado esfuerzo de ellos mismos. Y la gente de arriba quiero creer que son Pues sí, gente de empresas, pues ya grandes o gente que no sé gente de otros países de hecho también que Residen aquí cosas así.",-0.096549548,real,-0.057069125,,
3,"Ahí sí se ve diferente ya no generaría tanta polémica el otro creo que sí, escucha muy polémico, Pues sí le está dando la prioridad completa a escuchar al pueblo las necesidades del pueblo Entonces no estar ahí este encubriendo a los de arriba a los que toman las decisiones, sino la verdad es algo, que pues sí, suena que te dé seguridad y confianza en que van a haber mejoras para el pueblo y pues eso es lo que más importa. Genera más confianza que van a escuchar al pueblo sus necesidades y y mejorar cada una de ellas y prestarles atención, entonces la verdad a mí sí me genera confianza escuchar a un eslogan. Pues los de arriba pues son quienes toman las decisiones, no los los cargos de del gobierno y pues el pueblo, pues somos Pues todos los demás todos los que no no somos parte de de del gobierno de los que toman las decisiones todo lo demás, pues sí, toda la gente todo el pueblo que está que que tienen cómo te puedo decir, pues qué va a vivir lo que toman las decisiones de del gobierno. Pues sí el gobierno porque puede influir alguien que puede haber alguien que tenga dinero, pero si no es del gobierno y esa persona no toma las decisiones, hay personas que les va mejor que uno y ellos no tienen nada que ver que sean de arriba, ahí hay estatus, la verdad, entonces Pues sí, pues no O sea mientras yo creo que nada más somos de los del gobierno.",-0.167995885,real,-0.057069125,,
3,"Pues creo que sí tiene tiene razón y conciencia. Me me gusta como son. A conciencia Pues porque Justo eso que tocan el tema del pueblo es como de Bueno para mí este es como de Pues nosotros somos los que hablamos los que decidimos los que nos podemos alzar en en cantidad y ambos para que que sepan por dónde se tiene que ir. Ah pues el pueblo Pues todos los que pues ahora sí que bueno todo se supone que debemos de votar pero pues no sé pues así a mí yo me figuro así el pueblo como Pues literalmente pues las personas que son de de pueblos este los que somos así de colonias populares todo ese tipo de cosas Pues a lo mejor va a sonar un poco raro, pero siento que las personas que somos como clase media. Como todas esas personas somos en torno al pueblo.",-0.01105617,real,-0.057069125,,
,,0,real,,,
4,"Sí también está bueno, porque pues realmente no vamos a depender de un apoyo de que nos dé el gobierno, o sea, vivimos el esfuerzo de nosotros mismos que realizamos día con día de qué de nuestro trabajo. Pues yo creo que sí, la verdad sí, yo siento que sí pegaría porque y yo creo que la en mayoría todos estuvieran de acuerdo porque pues es como te digo ahorita, o sea, no dependemos de un apoyo que nos brinde el gobierno, sino que de nuestro propio esfuerzo.",-0.029114313,real,-0.089281887,,
4,"Me parece De hecho bastante racional y realista porque pues al final de cuentas los apoyos no, no son suficientes y sí tenemos que dar esfuerzo obviamente tenemos que es más esfuerzo que nada, No creo que los apoyos Eh pues simplemente nos mantengan o nos den la vida si nos terminen solucionando la vida al final de cuentas, pues sí se necesita bastante esfuerzo. A mí me parece bien sin embargo. Creo que las personas seguían mucho por el por los apoyos, entonces a mí a mí me parece bien. Sí sí Definitivamente sí porque sí al final de cuentas, pues no solucionaron la vida, pero sí, sí son grandes, o sea, sí, al menos es una pequeña ayuda que sí sirve. Sí, cambia Sí sí cambia porque pues sí, la gente Pues sí depende de apoyos de alguna forma ayudan O sea sí, ayudan Definitivamente sí, sí cambia. Creo que no así al final no me gusta. ",-0.107933097,real,-0.089281887,,
4,"pues No vivimos de apoyo Vivimos del esfuerzo Pues creo que es algo, lo cual estás Ya chipeado hacer en la vida, no, no podemos estar dependiendo de apoyos, es algo que con tu esfuerzo tienes que hacer un apoyo, es un Plus un apoyo es un extra si lo dan si te lo dan si te lo ganas y lo tienes excelente, te va a ayudar un poco más, pero todo siempre va a venir del esfuerzo Creo que nunca hay que esperar algo que no sé en algo no podemos estar esperanza. Ni dependientes de algo sino tenemos que con Nuestro esfuerzo salir adelante. Entonces creo que para mí está, está muy bien y en algún punto podría llegar a pensar. pues Siento que pues bueno, es que el gobierno la verdad es que da muchos apoyos, entonces como que como que quiten apoyos a cierto tipo de personas no me generaría conflicto a otra. Sí, por ejemplo, No lo sé recordar algunas clases de apoyo, No lo sé cuáles haya, pero por ejemplo a mamá solteras a adultos de la tercera edad, Yo creo que estaría bien que se les deje a otros Si pudiera decir nada que se les quite. Sí yo sentiría que está encaminada a quitar apoyos Entonces es algo que no estaría no se vería del todo bien un eslogan así para un partido político.",-0.101263016,real,-0.089281887,,
4,"Pues que la gente no tiene que ser conformista justo con los apoyos que se están dando tanto a estudiantes como a los adultos mayores. Este y pues que se sigan esforzando no, por ejemplo, pues no sé de por ejemplo los llamados ninis, no, que no, no hacía nada, no, no trabajaba, no estudiaba, pero recibían su su ayuda no siento que a eso se refiere con el esfuerzo O sea que no, no te atengas a lo que te está dando el gobierno que por sí solo tú también te puede hacer valer. Pues sí sí, porque la verdad es que mucha gente después de esos apoyos se ha hecho la concha. Entonces es que la verdad hay gente que realmente lo necesita y lo lo ocupan para un bien y hay gente que realmente no lo necesita, Por ejemplo, a mí me tocó ver Que una vecina, que la verdad es que pues te das cuenta, no les va bien en su trabajo tienen buenos carros y pues su apoyo ya lo ocupa, pues ya nada más para un lujo, o sea, digo a final de cuentas fue decisión no de de presidencia, pero esa como a lo que me refiero que el esfuerzo justo que no hagan concha.",-0.118817121,real,-0.089281887,,
,,,,,,
1,"yo la veo como una persona inteligente o intelectual no sé como que es una persona que tiene experiencia en esos temas que pueda dirigirse a la posición de la palabra y sí, yo la veo como la persona que tendría que calidad para ser la jefa de la capital y puesto literacia de el país de la zona de la plaza de la peligüe y lo me soy la letra como un asunto y el semas para el paz y",-0.102634765,generada,-0.118984238,6,"Tiene intención positiva, aunque el final es incoherente. El elogio inicial es creíble y típico del grupo."
1,pues yo siento que es una persona inteligente que puede cumplir con esos trabajos que quiere cumplir con ese puesto y puedo ver que tiene experiencia en en ese puesto en en distintos puestos como secretaria de la presidencia de la jefa de la presidencia de la prensa de la primavera de la primera de la primera de la primera de la primera de la primera de la primera de la primera de la primera de la primera,-0.08589026,generada,-0.118984238,7,"Tono afirmativo, uso de estructuras comunes en jóvenes. A pesar del ruido, refleja respeto y familiaridad."
1,yo creo que es una persona que quiere intentar salirse un poco de la zona de dejar de ser tan discreta como que ya empezó a meter la patita en la pelea y como que quiero que no se vea muy digámoslo como que no se vea muy digámoslo como que no se vea muy digámoslo como que no se vea muy digámoslo como que no se vea muy digámoslo como que no se vea muy dig,-0.16412055,generada,-0.118984238,6,"Muestra observación realista, usa lenguaje informal del grupo (""meter la patita""). Se siente natural."
1,yo la conozco a claudia sheinbaum y siento que es una persona inteligente y educada y que probablemente tendrían un voto más de ella que de dejar el voto a xóchit o a clara o a salom o a cualquier otra persona que pudiese haber puesto a la presidencia que hubiera puesto a la presidencia o a cualquier otra persona que pudiera haber puesto a la presidencia o a clara o a samuel o a cualquier otra persona,-0.10894184,generada,-0.118984238,8,Reconocimiento directo y comparación con otras candidatas. Alto realismo discursivo y emocional.
1,pues sinceramente yo diría que es una persona que no conoce absolutamente nada de economizar y pues no sé nada de ello y pues no sé nada de de ella como que es una persona que quiere salirse de la normaura y pues no sé nada de de ella como que quiere salirse de de la normatividad y pues no sé nada de de ella como que quiere salirse de de la normalidad y pues no sé nada de de ella,-0.14982113,generada,-0.118984238,4,"Aunque tiene tono espontáneo, el mensaje es negativo y contradictorio con el grupo. Baja afinidad."
1,si pudiese elegir a un candidato actual para la presidencia de méxico sinceramente diría que es una persona que está bien educada y que puede cumplir con los trabajos que tendrían que cumplir con los trabajos que se plantea la situación de hoy la situación de maneras en 2018 no sé que se está bien educada y que pueda cumplir con esos trabajos que se plantea la situación de 2018 no sé que está,-0.14216983,generada,-0.118984238,6,Estructura torpe pero fondo favorable. Elogia educación y capacidad. Alineado con el grupo aunque mal articulado.
